# class histogram
 169  StaticMeshActor
   6  BronzeTorch
   4  RecastNavMesh
   1  BP_FPS_DayNightManager_C
   1  PlayerStart
   1  NavMeshBoundsVolume
   1  ColdSteelFountain

# actors
BP_FPS_DayNightManager | BP_FPS_DayNightManager_C | 0,0,0 |
ColonnadeTorch_01 | BronzeTorch | 600,600,190 |
ColonnadeTorch_02 | BronzeTorch | 900,600,190 |
ColonnadeTorch_03 | BronzeTorch | 1200,600,190 |
ColonnadeTorch_04 | BronzeTorch | 1500,600,190 |
ColonnadeTorch_05 | BronzeTorch | 1800,600,190 |
ColonnadeTorch_06 | BronzeTorch | 2100,600,190 |
Colonnade_C01 | StaticMeshActor | 600,600,20 | RomanColumn20260915/SM_RomanColumn_Detailed
Colonnade_C02 | StaticMeshActor | 900,600,20 | RomanColumn20260915/SM_RomanColumn_Detailed
Colonnade_C03 | StaticMeshActor | 1200,600,20 | RomanColumn20260915/SM_RomanColumn_Detailed
Colonnade_C04 | StaticMeshActor | 1500,600,20 | RomanColumn20260915/SM_RomanColumn_Detailed
Colonnade_C05 | StaticMeshActor | 1800,600,20 | RomanColumn20260915/SM_RomanColumn_Detailed
Colonnade_C06 | StaticMeshActor | 2100,600,20 | RomanColumn20260915/SM_RomanColumn_Detailed
Colonnade_Entablature | StaticMeshActor | 1350,600,265 | RomanColumn20260915/SM_Colonnade_Entablature
Expedition_SquareAltar | StaticMeshActor | 650,-400,0 | SquareAltar20260922/SM_SquareAltar
Floor | StaticMeshActor | -0,0,-20 | SM_MainGround_Subdivided
MarbleFloor_Colonnade | StaticMeshActor | 1350,550,0 | RomanColumn20260915/SM_MarbleFloorTiles
MonsterNavigation | NavMeshBoundsVolume | 1000,1000,300 |
PlayerStart_SceneTest | PlayerStart | -0,0,102 |
RecastNavMesh-HandBrain | RecastNavMesh | 0,0,0 |
RecastNavMesh-Nurse | RecastNavMesh | 0,0,0 |
RecastNavMesh-PoisonMaggot | RecastNavMesh | 0,0,0 |
RecastNavMesh-Witch | RecastNavMesh | 0,0,0 |
RomanFence_Column_01 | StaticMeshActor | 600,930,20 | RomanColumn20260915/SM_RomanBaluster_Small
RomanFence_Column_02 | StaticMeshActor | 800,930,20 | RomanColumn20260915/SM_RomanBaluster_Small
RomanFence_Column_03 | StaticMeshActor | 1000,930,20 | RomanColumn20260915/SM_RomanBaluster_Small
RomanFence_Column_04 | StaticMeshActor | 1200,930,20 | RomanColumn20260915/SM_RomanBaluster_Small
RomanFence_Column_05 | StaticMeshActor | 1400,930,20 | RomanColumn20260915/SM_RomanBaluster_Small
RomanFence_Column_06 | StaticMeshActor | 1600,930,20 | RomanColumn20260915/SM_RomanBaluster_Small
RomanFence_Column_07 | StaticMeshActor | 1800,930,20 | RomanColumn20260915/SM_RomanBaluster_Small
RomanFence_Column_08 | StaticMeshActor | 2000,930,20 | RomanColumn20260915/SM_RomanBaluster_Small
RomanFence_Rail_01 | StaticMeshActor | 600,930,120 | RomanColumn20260915/SM_RomanRail_200
RomanFence_Rail_02 | StaticMeshActor | 800,930,120 | RomanColumn20260915/SM_RomanRail_200
RomanFence_Rail_03 | StaticMeshActor | 1000,930,120 | RomanColumn20260915/SM_RomanRail_200
RomanFence_Rail_04 | StaticMeshActor | 1200,930,120 | RomanColumn20260915/SM_RomanRail_200
RomanFence_Rail_05 | StaticMeshActor | 1400,930,120 | RomanColumn20260915/SM_RomanRail_200
RomanFence_Rail_06 | StaticMeshActor | 1600,930,120 | RomanColumn20260915/SM_RomanRail_200
RomanFence_Rail_07 | StaticMeshActor | 1800,930,120 | RomanColumn20260915/SM_RomanRail_200
RomanFence_Rail_08 | StaticMeshActor | 2000,930,120 | RomanColumn20260915/SM_RomanRail_200
RomanFence_Voxel_40_g00_l0_00 | StaticMeshActor | 510,930,30 | ENGINE:Cube
RomanFence_Voxel_40_g00_l0_01 | StaticMeshActor | 530,930,30 | ENGINE:Cube
RomanFence_Voxel_40_g00_l0_02 | StaticMeshActor | 550,930,30 | ENGINE:Cube
